Player,Region,OriginalPlace,Place,OriginalPoints,Points,Event,Type,StartDate,EndDate,RegionLock,Place,PointsWon
ECHO FOX|Tokido,Asia,1,1,4161,4161,,,,,,,
FUDOH|Fujimura,Asia,2,2,2971,2971,,,,,,,
MOUSESPORTS|Problem X,Europe,3,3,2771,2771,,,,,,,
CYG BST|Fuudo,Asia,4,4,2301,2301,,,,,,,
FAV|Sako,Asia,5,5,2241,2241,,,,,,,
ECHO FOX|Justin Wong,North America,6,6,1911,1911,,,,,,,
UYU|NL,Asia,7,7,1842,1842,,,,,,,
UYU|Oil King,Asia,8,8,1840,1840,,,,,,,
CYG BST|Daigo,Asia,9,9,1642,1642,,,,,,,
PG|Infiltration,Asia,10,10,1600,1600,,,,,,,
GHOST|NuckleDu,North America,11,11,1551,1551,,,,,,,
BJK|Luffy,Europe,12,12,1491,1491,,,,,,,
QANBA DOUYU|Xiao Hai,Asia,13,13,1270,1270,,,,,,,
NVD|Momi,Europe,32,14,462,1262,LATAM Regional Finals 2018,Premier,11/2/2018 12:00:00 AM,11/4/2018 12:00:00 AM,,7,100
NVD|Momi,Europe,32,14,462,1262,North American Regional Finals at Red Bull Conquest,Premier,11/17/2018 12:00:00 AM,11/18/2018 12:00:00 AM,,1,700
Brolynho,Latin America,33,15,431,1231,LATAM Regional Finals 2018,Premier,11/2/2018 12:00:00 AM,11/4/2018 12:00:00 AM,,1,700
Brolynho,Latin America,33,15,431,1231,North American Regional Finals at Red Bull Conquest,Premier,11/17/2018 12:00:00 AM,11/18/2018 12:00:00 AM,,7,100
RISE|Caba,Latin America,14,16,1172,1172,,,,,,,
NASR|Big Bird,Europe,15,17,1152,1152,,,,,,,
NVD|Phenom,Europe,16,18,1142,1142,,,,,,,
Gachikun,Asia,17,19,1114,1114,,,,,,,
RAZER|Xian,Asia,18,20,1063,1063,,,,,,,
Mago,Asia,27,21,723,1013,LATAM Regional Finals 2018,Premier,11/2/2018 12:00:00 AM,11/4/2018 12:00:00 AM,,4,160
Mago,Asia,27,21,723,1013,North American Regional Finals at Red Bull Conquest,Premier,11/17/2018 12:00:00 AM,11/18/2018 12:00:00 AM,,5,130
RB HX|Bonchan,Asia,19,22,1012,1012,,,,,,,
CYG BST|GamerBee,Asia,28,23,641,971,LATAM Regional Finals 2018,Premier,11/2/2018 12:00:00 AM,11/4/2018 12:00:00 AM,,5,130
CYG BST|GamerBee,Asia,28,23,641,971,North American Regional Finals at Red Bull Conquest,Premier,11/17/2018 12:00:00 AM,11/18/2018 12:00:00 AM,,3,200
ATLAS BEAR|StormKUBO,Asia,29,24,601,931,LATAM Regional Finals 2018,Premier,11/2/2018 12:00:00 AM,11/4/2018 12:00:00 AM,,3,200
ATLAS BEAR|StormKUBO,Asia,29,24,601,931,North American Regional Finals at Red Bull Conquest,Premier,11/17/2018 12:00:00 AM,11/18/2018 12:00:00 AM,,5,130
FNATIC|Akainu,Europe,31,25,493,923,LATAM Regional Finals 2018,Premier,11/2/2018 12:00:00 AM,11/4/2018 12:00:00 AM,,2,270
FNATIC|Akainu,Europe,31,25,493,923,North American Regional Finals at Red Bull Conquest,Premier,11/17/2018 12:00:00 AM,11/18/2018 12:00:00 AM,,4,160
CYCLOPS|Dogura,Asia,30,26,521,921,LATAM Regional Finals 2018,Premier,11/2/2018 12:00:00 AM,11/4/2018 12:00:00 AM,,5,130
CYCLOPS|Dogura,Asia,30,26,521,921,North American Regional Finals at Red Bull Conquest,Premier,11/17/2018 12:00:00 AM,11/18/2018 12:00:00 AM,,2,270
